date,position,strategy_ret,strategy_nav
2022-05-31,0.0,0.0,1.1255231574095317
2022-06-01,0.0,-0.0,1.1255231574095317
2022-06-02,0.0,-0.0,1.1255231574095317
2022-06-06,0.0,0.0,1.1255231574095317
2022-06-07,0.0,0.0,1.1255231574095317
2022-06-08,0.0,-0.0,1.1255231574095317
2022-06-09,0.0,0.0,1.1255231574095317
2022-06-10,0.0,-0.0,1.1255231574095317
2022-06-13,0.0,-0.0,1.1255231574095317
2022-06-14,0.0,-0.0,1.1255231574095317
2022-06-15,-1.0,-0.0,1.1255231574095317
2022-06-16,-1.0,-0.0001,1.1254106050937907
2022-06-17,-1.0,0.007388916625062358,1.1337261702237895
2022-06-20,-1.0,0.008600744391912274,1.143477059224306
2022-06-21,-1.0,0.007204099233930283,1.1517147814306805
2022-06-22,-1.0,-0.012315396801062972,1.1375309568957122
2022-06-23,-1.0,0.03129732458354362,1.173132632477506
2022-06-24,0.0,0.030224075039082865,1.208589481192303
2022-06-27,0.0,0.07399994626544869,1.2980250378575198
2022-06-28,0.0,0.0,1.2980250378575198
2022-06-29,0.0,0.0,1.2980250378575198
2022-06-30,0.0,-0.0,1.2980250378575198
2022-07-01,0.0,-0.0,1.2980250378575198
2022-07-04,0.0,-0.0,1.2980250378575198
2022-07-05,0.0,0.0,1.2980250378575198
2022-07-06,0.0,-0.0,1.2980250378575198
2022-07-07,0.0,0.0,1.2980250378575198
2022-07-08,0.0,-0.0,1.2980250378575198
2022-07-11,0.0,-0.0,1.2980250378575198
2022-07-12,0.0,0.0,1.2980250378575198
2022-07-13,0.0,0.0,1.2980250378575198
2022-07-14,0.0,0.0,1.2980250378575198
2022-07-15,0.0,-0.0,1.2980250378575198
2022-07-18,0.0,-0.0,1.2980250378575198
2022-07-19,0.0,0.0,1.2980250378575198
2022-07-20,0.0,0.0,1.2980250378575198
2022-07-21,0.0,0.0,1.2980250378575198
2022-07-22,0.0,0.0,1.2980250378575198
2022-07-25,0.0,0.0,1.2980250378575198
2022-07-26,0.0,0.0,1.2980250378575198
2022-07-27,0.0,0.0,1.2980250378575198
2022-07-28,0.0,-0.0,1.2980250378575198
2022-07-29,0.0,0.0,1.2980250378575198
2022-08-01,0.0,0.0,1.2980250378575198
2022-08-02,0.0,0.0,1.2980250378575198
2022-08-03,0.0,-0.0,1.2980250378575198
2022-08-04,0.0,0.0,1.2980250378575198
2022-08-05,0.0,-0.0,1.2980250378575198
2022-08-08,0.0,0.0,1.2980250378575198
2022-08-09,0.0,-0.0,1.2980250378575198
2022-08-10,0.0,-0.0,1.2980250378575198
2022-08-11,0.0,0.0,1.2980250378575198
2022-08-12,0.0,0.0,1.2980250378575198
2022-08-15,0.0,0.0,1.2980250378575198
2022-08-16,0.0,-0.0,1.2980250378575198
2022-08-17,0.0,0.0,1.2980250378575198
2022-08-18,0.0,-0.0,1.2980250378575198
2022-08-19,0.0,-0.0,1.2980250378575198
2022-08-22,0.0,-0.0,1.2980250378575198
2022-08-23,0.0,0.0,1.2980250378575198
2022-08-24,0.0,-0.0,1.2980250378575198
2022-08-25,0.0,-0.0,1.2980250378575198
2022-08-26,0.0,0.0,1.2980250378575198
2022-08-29,0.0,-0.0,1.2980250378575198
2022-08-30,0.0,-0.0,1.2980250378575198
2022-08-31,0.0,0.0,1.2980250378575198
2022-09-01,0.0,0.0,1.2980250378575198
2022-09-02,0.0,-0.0,1.2980250378575198
2022-09-05,0.0,-0.0,1.2980250378575198
2022-09-06,0.0,0.0,1.2980250378575198
2022-09-07,0.0,0.0,1.2980250378575198
2022-09-08,0.0,-0.0,1.2980250378575198
2022-09-09,0.0,0.0,1.2980250378575198
2022-09-13,0.0,0.0,1.2980250378575198
2022-09-14,0.0,0.0,1.2980250378575198
2022-09-15,0.0,-0.0,1.2980250378575198
2022-09-16,0.0,-0.0,1.2980250378575198
2022-09-19,0.0,0.0,1.2980250378575198
2022-09-20,0.0,0.0,1.2980250378575198
2022-09-21,0.0,0.0,1.2980250378575198
2022-09-22,0.0,0.0,1.2980250378575198
2022-09-23,0.0,-0.0,1.2980250378575198
2022-09-26,0.0,-0.0,1.2980250378575198
2022-09-27,0.0,-0.0,1.2980250378575198
2022-09-28,0.0,-0.0,1.2980250378575198
2022-09-29,0.0,-0.0,1.2980250378575198
2022-09-30,0.0,0.0,1.2980250378575198
2022-10-10,0.0,-0.0,1.2980250378575198
2022-10-11,0.0,-0.0,1.2980250378575198
2022-10-12,0.0,0.0,1.2980250378575198
2022-10-13,0.0,-0.0,1.2980250378575198
2022-10-14,0.0,-0.0,1.2980250378575198
2022-10-17,0.0,0.0,1.2980250378575198
2022-10-18,0.0,-0.0,1.2980250378575198
2022-10-19,0.0,-0.0,1.2980250378575198
2022-10-20,0.0,0.0,1.2980250378575198
2022-10-21,0.0,0.0,1.2980250378575198
2022-10-24,0.0,-0.0,1.2980250378575198
2022-10-25,0.0,0.0,1.2980250378575198
2022-10-26,0.0,0.0,1.2980250378575198
