date,CU,AL,ZN,NI,TA,RU,V,RB,I,J,JM
2022-08-29,0.09562898597228287,0.07131117047308094,0.0631668438438054,0.06956162844477243,0.07808464323734096,0.1300292374615622,0.13309343613749336,0.06681541778311076,0.09168585958332208,0.13020025812449215,0.07042251893873684
2022-08-30,0.09526768221140128,0.07187890257898544,0.06300203415931205,0.06995599820238348,0.07830939304960614,0.1297901800476996,0.13247088630637266,0.06667023731527666,0.09153240862238746,0.1307504072812144,0.07037187022536089
2022-08-31,0.09491994576689648,0.07236876967303071,0.06299163352128867,0.06919544483832053,0.07884656631819069,0.13123761788074106,0.13284293968314217,0.06548422931547436,0.09179934520714816,0.12979915257995642,0.07051435521581069
2022-09-01,0.09355339382315545,0.07050251252587772,0.06286514660696081,0.08060597714934054,0.07696163573812581,0.12566364278543327,0.1281512439240005,0.06406602653188748,0.09069389528698273,0.13369275950568374,0.07324376612255196
2022-09-02,0.0963848222338773,0.08918116245408694,0.06174620092987258,0.07835074491945182,0.07481321976646158,0.12254800190747507,0.12456113681122431,0.06314617003005836,0.08815132271290788,0.12992535525771742,0.07119186297686665
2022-09-05,0.09559910491521614,0.09040453074696331,0.06124536406477255,0.07778023026881153,0.07404204203202339,0.12767086421246726,0.12368137083690636,0.06285071651843771,0.08734405509495415,0.12880003844881666,0.07058168286063109
2022-09-06,0.0954357043823407,0.09047481468852793,0.06131403826795156,0.0778171784894879,0.07379756522511714,0.12786596946516,0.12381802761378256,0.06296253373062453,0.08744041250335033,0.12848023334705908,0.07059352228659825
2022-09-07,0.09568093559902327,0.09074687628542732,0.06145412414723231,0.0772923773588594,0.0705595349227346,0.1301694989614949,0.12425946279549394,0.06306231470820269,0.08755133251927703,0.1283118452168967,0.07091169748535783
2022-09-08,0.09612444542529448,0.09022163875762754,0.061096301766622785,0.07669157444516977,0.07015089199672953,0.13177913611160602,0.12363957239572666,0.06389771439161876,0.08708736593588841,0.12879852053881682,0.07051283823489933
2022-09-09,0.09596728423060158,0.09018158629109177,0.06105359153589876,0.0766297507092454,0.07011930158152777,0.1322736788982774,0.12382842291662502,0.06389394133674212,0.08699794544028037,0.12857807009165118,0.07047642696805863
2022-09-13,0.09656895691737995,0.09024601495955938,0.061114568392625565,0.07670521289722226,0.07019694857439004,0.1320378487720025,0.1241769514642447,0.06508146629351798,0.08685357803330297,0.12652475268072394,0.07049370101503083
2022-09-14,0.09642792346136742,0.09062019607026485,0.06138648077128738,0.07412331666312082,0.0705498594513942,0.13241138548567344,0.12484346549110142,0.06520935118516726,0.08720149928368026,0.12649317228066217,0.07073334985628094
2022-09-15,0.09663669171683179,0.09085501934494417,0.06154764973709155,0.07430759999630605,0.0707344203624824,0.13073727081137937,0.12524010760294116,0.06537877598349913,0.08778730600118101,0.12589903018151266,0.07087612826183054
2022-09-16,0.09644117451896472,0.09082437458198965,0.06154669902505998,0.07429457966962286,0.07074032428230108,0.1307436947138316,0.12554730040968914,0.06538370365154243,0.08780353159112834,0.1258155056627161,0.07085911189315429
2022-09-19,0.09669323820994302,0.09083637408728722,0.0615891756027939,0.07435890309668398,0.07079533372040778,0.13055045210174138,0.12604114782649115,0.06540381130936813,0.0893101695069739,0.12354127551771975,0.07088011902058973
2022-09-20,0.0965325659409302,0.09063739419303168,0.0614476944760559,0.07417200745960671,0.0708231784791592,0.13015764106252695,0.12576184531584925,0.0655346929285756,0.09099894704685645,0.12320529208359718,0.07072874101381099
2022-09-21,0.0964709082999246,0.09059923931184062,0.06142790845388907,0.07412355294832546,0.07088169734357187,0.13012824231239906,0.12570206699745815,0.06620450247530925,0.0909388518135345,0.122833067784587,0.07068996225916059
2022-09-22,0.09602737488515822,0.09016406581551466,0.06112164261588327,0.07859474934417117,0.07053576790732047,0.12827040267166678,0.12512979001470895,0.06629359902774216,0.09163334066990031,0.1218713194412453,0.07035794760668881
2022-09-23,0.09600900208421903,0.09007996829522398,0.061062122260732245,0.07848375275214146,0.07081575356880078,0.12851640047646004,0.1255620085471546,0.06638307969187372,0.09194490041633965,0.12095393693962156,0.07018907496743264
