date,RB,I,J,JM
2019-12-19,0.22159839694479963,0.11070094138449449,0.2888187914561542,0.3788818702145518
2019-12-20,0.22311170484851411,0.11036938750427551,0.2886031710652919,0.37791573658191857
2019-12-23,0.24658150281992755,0.12201146972845138,0.31908203853504125,0.31232498891657984
2019-12-24,0.2436154390795,0.12085892275445086,0.32694022221277863,0.30858541595327055
2019-12-25,0.24491721691151072,0.12084265710925807,0.3274166806685928,0.30682344531063843
2019-12-26,0.2440336858509077,0.12131586078373396,0.33327426922600045,0.3013761841393578
2019-12-27,0.24443682515697504,0.12190886822388884,0.3330282508945846,0.30062605572455153
2019-12-30,0.2416891464806308,0.12084940863309347,0.3300921394767247,0.307369305409551
2019-12-31,0.2389313879123147,0.12012338429878865,0.33801264001173265,0.30293258777716403
2020-01-02,0.23928010943303893,0.12101398931247027,0.3379175062525539,0.301788395001937
2020-01-03,0.23999515820279063,0.12288311513585444,0.33429853048251623,0.3028231961788387
2020-01-06,0.24239818608620153,0.12402980166160088,0.32927109291265944,0.3043009193395381
2020-01-07,0.24155628430915652,0.12317358066000425,0.33188194644991936,0.30338818858091987
2020-01-08,0.24147966584723113,0.12317187382258032,0.32886407866553885,0.30648438166464964
2020-01-09,0.2430403797981283,0.12323841142960489,0.328745059260195,0.30497614951207197
2020-01-10,0.24314035787898416,0.1229783384955278,0.3318046325777415,0.3020766710477466
2020-01-13,0.2453736975777384,0.1239723698643566,0.3212619947654166,0.30939193779248836
2020-01-14,0.24546541682861975,0.12399365853427109,0.32121316404970396,0.3093277605874052
2020-01-15,0.2500683511643081,0.12544181992802123,0.3119232833606115,0.3125665455470592
2020-01-16,0.2502707290839117,0.12593699367455566,0.31025694739402326,0.3135353298475093
2020-01-17,0.249696553080695,0.12585877073808105,0.3089283670425937,0.3155163091386303
2020-01-20,0.24899634616874394,0.12595941370172306,0.30923640737130487,0.31580783275822827
2020-01-21,0.24957947456021315,0.12633376001433283,0.30603614775436727,0.3180506176710868
2020-01-22,0.25042973848670724,0.12639545785945236,0.30569639225175244,0.31747841140208793
2020-01-23,0.2495831084632096,0.12716304666832237,0.30377047089766135,0.3194833739708067
2020-02-03,0.24966585868896343,0.12702957013972083,0.303461970619831,0.3198426005514848
2020-02-04,0.2176740067562764,0.14287231705475764,0.25187022407989007,0.387583452109076
2020-02-05,0.2088613299810564,0.17822221697296323,0.24058779039985015,0.3723286626461302
2020-02-06,0.2083390543623348,0.17982488096143293,0.2403173039651301,0.37151876071110224
2020-02-07,0.2079390428013,0.18100995539419554,0.24015007882907535,0.37090092297542915
2020-02-10,0.20729736345325553,0.1838179147452266,0.23941478905894298,0.36946993274257495
2020-02-11,0.2074356114851585,0.18328187279558922,0.23963884282091283,0.36964367289833944
2020-02-12,0.2062720320829137,0.18760030346559123,0.23848617905558497,0.3676414853959102
2020-02-13,0.20734979220012667,0.1834539104448896,0.2397771917710716,0.3694191055839122
2020-02-14,0.2070853774400801,0.18534524682537623,0.2399615324232669,0.36760784331127677
2020-02-17,0.2070926902258236,0.1851697701798359,0.24088592291668617,0.3668516166776543
2020-02-18,0.20704394687894412,0.18535512470913088,0.24082840950524964,0.36677251890667534
2020-02-19,0.2072537705800054,0.18419475184120926,0.2411724304976891,0.3673790470810962
2020-02-20,0.20724175781538107,0.1842214717129061,0.24120476802146434,0.3673320024502485
2020-02-21,0.20707778479242947,0.18397387239910304,0.24101086510519587,0.3679374777032716
2020-02-24,0.20780754848157795,0.18176303275663594,0.24102557709744304,0.3694038416643431
