date,CU,AL,ZN,NI
2015-06-24,0.186519483564915,0.45643476824547624,0.3570457481896087,0.0
2015-06-25,0.18445434567468824,0.46527765504677504,0.3502679992785368,0.0
2015-06-26,0.18425137827384508,0.4664907972731245,0.3492578244530305,0.0
2015-06-29,0.1844591340213194,0.4663261658972601,0.3492147000814205,0.0
2015-06-30,0.1835911635729231,0.46873372271155606,0.3476751137155209,0.0
2015-07-01,0.18210953392375742,0.47454647685428575,0.34334398922195686,0.0
2015-07-02,0.18230464332059051,0.4740957868810155,0.3435995697983941,0.0
2015-07-03,0.17964895655811913,0.4826460519466287,0.3377049914952522,0.0
2015-07-06,0.18283531704960573,0.4869103848047835,0.3302542981456108,0.0
2015-07-07,0.1831796978178575,0.4889506533048185,0.327869648877324,0.0
2015-07-08,0.182310961536931,0.4846575028824896,0.3330315355805794,0.0
2015-07-09,0.18014465204492536,0.48906168360865887,0.33079366434641577,0.0
2015-07-10,0.18531839742832099,0.48315956697509993,0.3315220355965791,0.0
2015-07-13,0.1776993068938462,0.4926676600081112,0.32963303309804265,0.0
2015-07-14,0.1839439764534567,0.4873793471224586,0.3286766764240848,0.0
2015-07-15,0.20297898275564188,0.47395418309462245,0.3230668341497357,0.0
2015-07-16,0.18495679778960708,0.5262951636937134,0.28874803851667946,0.0
2015-07-17,0.1829761222030103,0.5340765537532447,0.28294732404374506,0.0
2015-07-20,0.18355035895433433,0.5328719968540594,0.28357764419160625,0.0
2015-07-21,0.18369172595561997,0.532319996765827,0.2839882772785531,0.0
2015-07-22,0.18588376926030878,0.5283007269318667,0.28581550380782456,0.0
2015-07-23,0.18530991459249221,0.5284346268552361,0.2862554585522716,0.0
2015-07-24,0.1899490883111476,0.5239302187018399,0.28612069298701265,0.0
2015-07-27,0.19227001588839082,0.521781020864812,0.28594896324679714,0.0
2015-07-28,0.1919133315639489,0.5244812754657743,0.2836053929702769,0.0
2015-07-29,0.19543325000891634,0.5300656671241624,0.2745010828669214,0.0
2015-07-30,0.19760434153719492,0.5304784692784543,0.27191718918435076,0.0
2015-07-31,0.19810629337173935,0.5293094977189198,0.2725842089093409,0.0
2015-08-03,0.20486950932766723,0.5191795888499293,0.27595090182240345,0.0
2015-08-04,0.2035901032985695,0.5280052212781405,0.26840467542329005,0.0
2015-08-05,0.21022689870240063,0.519330871851798,0.2704422294458014,0.0
2015-08-06,0.2128460828433851,0.5197844075068021,0.2673695096498128,0.0
2015-08-07,0.2126754500124094,0.5199814188934744,0.2673431310941162,0.0
2015-08-10,0.2154305934785467,0.5152343098598537,0.2693350966615996,0.0
2015-08-11,0.2169992837201546,0.5196643894553467,0.2633363268244989,0.0
2015-08-12,0.21854756131031974,0.5254079218333518,0.2560445168563284,0.0
2015-08-13,0.21786005107294285,0.5235140964411532,0.2586258524859039,0.0
2015-08-14,0.22315824760441014,0.5287321297075468,0.24810962268804307,0.0
2015-08-17,0.2232934241728102,0.5284811788344698,0.24822539699272,0.0
2015-08-18,0.22283660170285155,0.5278384940948898,0.24932490420225872,0.0
2015-08-19,0.22281229884090475,0.5293167492963172,0.24787095186277805,0.0
2015-08-20,0.224997450485677,0.5325885195012792,0.24241403001304385,0.0
2015-08-21,0.22491160228057902,0.5331437749763902,0.24194462274303083,0.0
2015-08-24,0.22430047192682173,0.5365446614063051,0.23915486666687327,0.0
2015-08-25,0.2271711533400548,0.5404097512437178,0.23241909541622743,0.0
2015-08-26,0.22377118266610205,0.5480927896775062,0.22813602765639177,0.0
2015-08-27,0.20978019333087164,0.5626445779705314,0.22757522869859698,0.0
2015-08-28,0.20805911601556734,0.5646470044770239,0.22729387950740884,0.0
2015-08-31,0.20892846440314333,0.5655687895618029,0.22550274603505377,0.0
2015-09-01,0.2071159182977524,0.5691857385306812,0.2236983431715665,0.0
2015-09-02,0.2066515611115007,0.5711914428561136,0.22215699603238565,0.0
2015-09-07,0.20331975360570514,0.5788360270582371,0.21784421933605785,0.0
2015-09-08,0.20334051139943615,0.5787549646776172,0.21790452392294665,0.0
2015-09-09,0.20213846171274505,0.5793518021560539,0.2185097361312011,0.0
2015-09-10,0.20175406916402944,0.5777444479322327,0.22050148290373794,0.0
2015-09-11,0.19556594032566804,0.5822552255487833,0.22217883412554867,0.0
2015-09-14,0.19252070379318975,0.5890314297151645,0.21844786649164577,0.0
2015-09-15,0.19248571301579473,0.5891404837036537,0.21837380328055161,0.0
2015-09-16,0.19310973767970255,0.5890901034091821,0.21780015891111532,0.0
2015-09-17,0.19437848761112866,0.5894017996748616,0.2162197127140098,0.0
2015-09-18,0.19437216462946372,0.5882418766869785,0.2173859586835578,0.0
2015-09-21,0.19470225675469488,0.5876593135944292,0.21763842965087582,0.0
2015-09-22,0.19425691983202867,0.5895543141577145,0.2161887660102567,0.0
2015-09-23,0.19904935278271768,0.5939038365189806,0.20704681069830183,0.0
2015-09-24,0.19894404221787046,0.591773589910761,0.20928236787136853,0.0
2015-09-25,0.20173998405720323,0.5880039014998474,0.21025611444294948,0.0
2015-09-28,0.20177302304489272,0.5881785948701388,0.2100483820849685,0.0
2015-09-29,0.20413565972477826,0.5862535994565562,0.20961074081866557,0.0
2015-09-30,0.20770723969536378,0.5790034435764457,0.21328931672819057,0.0
2015-10-08,0.20883954875594354,0.5819956929510505,0.20916475829300601,0.0
2015-10-09,0.20652484618430317,0.5912953078847275,0.20217984593096935,0.0
2015-10-12,0.23094923231503942,0.5471275271442423,0.22192324054071838,0.0
2015-10-13,0.2554295943721226,0.5362575067923915,0.20831289883548595,0.0
2015-10-14,0.2578415991051544,0.5337092694433584,0.2084491314514871,0.0
2015-10-15,0.26395259162267315,0.5225749865852838,0.21347242179204315,0.0
2015-10-16,0.27027029081044435,0.5132596074883897,0.21647010170116585,0.0
2015-10-19,0.27257779419037775,0.5091519004710089,0.21827030533861339,0.0
2015-10-20,0.2729745937819944,0.5085230868312363,0.21850231938676942,0.0
2015-10-21,0.27600709654406463,0.5033884146650736,0.22060448879086192,0.0
