date,CU,AL,ZN,NI,TA,RU,V,RB,I,J,JM
2022-06-13,0.15834035740532543,0.0887364664202733,0.09047866727452569,0.05793699246563274,0.06105705836922848,0.118587931973179,0.12670810042352473,0.07615705396163296,0.058954291025877924,0.09811238129904862,0.06493069938175106
2022-06-14,0.15859477593683544,0.0885198838083759,0.09045365466214583,0.05791752728168091,0.06102253261114964,0.11858293609811002,0.1269325507716873,0.0761896333590865,0.058905311990739534,0.09801044571038352,0.06487074776980531
2022-06-15,0.15874040755400323,0.08661686839198654,0.09048152572330842,0.05800497263390641,0.06113759803874397,0.1199927228053965,0.12708459208039002,0.0759307347398587,0.05890990159519941,0.09807183625684586,0.06502884018036088
2022-06-16,0.15879482495497158,0.08659755161647889,0.09045568264396635,0.05800666822122803,0.061142111417128935,0.12062105892626769,0.12688213667220877,0.07579075394779834,0.058870482875145194,0.09772892586126848,0.06510980286353779
2022-06-17,0.15954329308064136,0.08760394805820279,0.09087947439803525,0.0582291757326266,0.06141143241871815,0.12120342229032241,0.12726714956734625,0.0760347237115649,0.05885587367400538,0.0958071801949569,0.06316432687358
2022-06-20,0.15864369389759503,0.08764402538064069,0.09100383723855508,0.058339487912010025,0.061576181516436096,0.12138084037563786,0.12720507344374404,0.07602323090672397,0.058981987163565334,0.09592340883011051,0.06327823333498148
2022-06-21,0.16104692806212317,0.08762643379068229,0.09085454044474277,0.05822455526240047,0.06145623576488629,0.12138790309989847,0.12794255104273458,0.07529380008327705,0.05809490806218193,0.09506878298998897,0.06300336139708425
2022-06-22,0.16422200145912036,0.08904375929741146,0.09247157613504502,0.05923095647734978,0.06255670913562442,0.12361029583243786,0.12956755617580337,0.07540187964959763,0.059213433115989075,0.08486249140393297,0.059819341317688256
2022-06-23,0.16385502715870176,0.08946316800777758,0.09178014848875123,0.05918162698413541,0.06249749361204902,0.12400748456264242,0.13058683866590756,0.07501749211778726,0.059128894131634496,0.08477636411569714,0.059705462154916095
2022-06-24,0.15847487333448598,0.08869402551298834,0.09197254486221342,0.05953261145094095,0.06445416666024838,0.12666784086539115,0.13024162903801983,0.07530854019346492,0.05903779311140188,0.08553717082026582,0.060078804150579423
2022-06-27,0.1567443489988651,0.08887231230163777,0.09140833838849621,0.05941781760913254,0.06615553355667181,0.12673210877033245,0.1306929685908525,0.07481999580215333,0.05957557125007917,0.08568611234712213,0.05989489238465708
2022-06-28,0.15108079688438283,0.08980225837478113,0.08530239812601223,0.05857739314993565,0.06859427644537291,0.12928996720868385,0.13250702112304755,0.07582530687534732,0.060803296994571154,0.08738675590544577,0.06083052891241961
2022-06-29,0.15083403330967143,0.08893688361684902,0.08538764578288198,0.05867518585178978,0.06899833055645685,0.1295121918415633,0.13327198226876133,0.07519729512354101,0.06091107175556289,0.08756448823727152,0.06071089165565103
2022-06-30,0.1493654555847501,0.08860182623951737,0.08395616670389398,0.05898078591026895,0.06944516468921103,0.13052443188033472,0.13327355249291747,0.07514512234441866,0.061506362450176245,0.0883656568041007,0.06083547490041075
2022-07-01,0.14752352942413915,0.0883802416893325,0.08304360724565471,0.05834117770975714,0.06869231954404383,0.12914799857987394,0.13414888868295233,0.0742789840321535,0.061573056749920814,0.09433594025046944,0.06053425609170285
2022-07-04,0.14535769713758953,0.08755011603599899,0.07807828530187662,0.058718330245975475,0.07034036672216268,0.1302877811193828,0.1369588156727159,0.07467077204534613,0.062173671026728244,0.09494138396959942,0.06092278072262419
2022-07-05,0.14101088334137135,0.08830499934673437,0.07706445854993597,0.05920538458076154,0.07096702685148695,0.13136686413933227,0.13750788443857576,0.07475551661521415,0.06269084153927953,0.09573492885894634,0.06139121173836177
2022-07-06,0.14128302600056009,0.08908327007767099,0.07667708575071067,0.059374149538205634,0.07127948413782696,0.13173453321996553,0.1360658232240301,0.07429099521047758,0.06287161282722804,0.09599121408834167,0.0613488059249827
2022-07-07,0.13831760086328446,0.08556326527824495,0.07728801996953737,0.060048720970257465,0.07189367285857795,0.1332095089145978,0.13599798578363584,0.07506730659316863,0.06365668403884236,0.09690016740483845,0.06205706732501481
2022-07-08,0.13511470904971393,0.08586700978797288,0.07674114236660413,0.060198386360480076,0.07220528202213798,0.13396720936950615,0.13803985434328434,0.07500913436260748,0.06395491375051308,0.09677623520167043,0.06212612338550959
2022-07-11,0.1295304510171855,0.08619603301673659,0.07623377076641177,0.06059663467962947,0.07344775228386322,0.13485489920934196,0.1394097409404165,0.07546227403985507,0.06439357975524736,0.09739542273198437,0.06247944155932812
2022-07-12,0.12935252105350534,0.08682664757273896,0.07655923895010673,0.06089087411602238,0.07372658411413115,0.13561914481053985,0.13688302193977028,0.07567791261709861,0.06510497294366009,0.09697933776327883,0.062379744119147866
2022-07-13,0.12917257357899156,0.08647662693384697,0.0765875540811288,0.06096984374865533,0.07534683489772279,0.13607295603444985,0.13699811402254655,0.0735246401561434,0.06514311983240804,0.09719247833559251,0.06251525837851402
2022-07-14,0.12745140644299552,0.08494427713073284,0.07762369731897362,0.06182991722769789,0.07585260854670947,0.13792741560146946,0.13608614564536156,0.07230093604043115,0.06622762584663981,0.09694257753869989,0.06281339266028885
2022-07-15,0.12591973189930306,0.08381398022031322,0.07514098593462631,0.06250914173441993,0.07494298905016462,0.13800798332948602,0.137713342310634,0.07293153864810713,0.06775508752793698,0.097855586313454,0.06340963303155471
2022-07-18,0.12640469516824893,0.08401936069696683,0.07393633982519325,0.06284157793133514,0.07519522226750049,0.1383629469947759,0.13852366813061096,0.07254481559396436,0.06811470977050353,0.09664244487408118,0.06341421874681945
2022-07-19,0.12472104649987424,0.0844277171675221,0.07435955512907025,0.06273734564648213,0.07569178037113788,0.1392386398967417,0.13822382206327327,0.06951437063977695,0.06956945616614935,0.09816763483721919,0.06334863158275292
2022-07-20,0.1170323409096596,0.08319552605768002,0.07276819222232961,0.06379105490688602,0.07815873902616138,0.14135643719746321,0.13830982449906598,0.0705741361373024,0.07067163957555525,0.09982180882952979,0.06432030063836658
2022-07-21,0.11628787079760966,0.08220921054542688,0.07204848236803091,0.06351576466723133,0.07778020074591849,0.140574920011376,0.1386059358092004,0.0701047690597039,0.07091567635039324,0.10384029565006468,0.06411687399504444
2022-07-22,0.11608182511701556,0.08205577429494611,0.0707868776508264,0.06341971679827942,0.07807975211875699,0.14034165176324925,0.138814493595485,0.06994537542241465,0.07252021591452248,0.10365767627299075,0.06429664105151342
