symbol,strategy_mode,param_label,signal_price_col,trade_price_col,return_mode,period,start,end,n_days,ann_ret,ann_vol,sharpe,max_drawdown,calmar,win_rate,profit_loss_ratio,final_nav
RU,fixed,"S=20, L=120, D=40, H=rs_fast",close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,-0.09322724702438812,0.18869827862278987,-0.494054570634163,0.2834084387860796,-0.3289501449699501,0.48333333333333334,0.975490119387961,0.8267193832371702
V,fixed,"S=20, L=120, D=40, H=rs_fast",close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,0.027944172134505285,0.17884956555548706,0.15624400343223516,0.33560076593428834,0.08326611548907144,0.4943820224719101,1.074991123438633,1.3196393488863398
V,fixed,"S=20, L=120, D=40, H=rs_fast",close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,-0.05808182717082511,0.20094371037736583,-0.2890452607934297,0.31960243877890293,-0.18173148926127378,0.5125,0.9096188729591246,0.8901640776576066
RB,fixed,"S=20, L=120, D=40, H=rs_fast",close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,0.18227540046649482,0.20561832191303991,0.8864745066034666,0.3541625332533952,0.51466596082901,0.5042158516020236,1.190542211788168,5.392666845399305
RB,fixed,"S=20, L=120, D=40, H=rs_fast",close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,0.001383082017062831,0.14418977725797258,0.009592094830608786,0.24228389230300296,0.005708518234192528,0.5107692307692308,0.9765537390828145,1.002691082557559
I,fixed,"S=20, L=120, D=40, H=rs_fast",close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,-0.07971018550065512,0.27708444415096467,-0.28767470416789764,0.7281784024085411,-0.10946518770263401,0.4697986577181208,1.0883511077471655,0.4334666141319209
I,fixed,"S=20, L=120, D=40, H=rs_fast",close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,-0.18217335498657894,0.18859862441377107,-0.9659315148922,0.37011403518340946,-0.4922087185812967,0.4613333333333333,0.9639593161195525,0.6763549365947306
J,fixed,"S=20, L=120, D=40, H=rs_fast",close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,0.07306304782515993,0.2568616972242515,0.28444508704375915,0.5726824995324431,0.12758037461387595,0.4975247524752475,1.1028813389820769,2.0332784444918874
J,fixed,"S=20, L=120, D=40, H=rs_fast",close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,-0.15251772485932413,0.2713046300200964,-0.5621641062595454,0.42714009174280865,-0.35706721941512043,0.5076923076923077,0.8731945927901177,0.7248597597411072
JM,fixed,"S=20, L=120, D=40, H=rs_fast",close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,-0.08144382661857175,0.26139479503691837,-0.311574018170748,0.6872878384893633,-0.11850031683607654,0.47596153846153844,1.0498319994641556,0.4253189264727406
JM,fixed,"S=20, L=120, D=40, H=rs_fast",close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,0.19518801706765188,0.3159784109081768,0.6177258012870172,0.3149025587045178,0.6198362371860003,0.5584905660377358,0.9564711421717503,1.414394138037348
