date,TA,RU,V
2020-05-15,0.37535430034969713,0.20310900251744887,0.42153669713285397
2020-05-18,0.37514524750433287,0.20321462995435868,0.42164012254130834
2020-05-19,0.3730950163988748,0.20519237745959626,0.421712606141529
2020-05-20,0.3713744363883533,0.20898706786873822,0.4196384957429085
2020-05-21,0.37362462783024336,0.20938696674117974,0.4169884054285769
2020-05-22,0.37346615995888016,0.20940337221271046,0.4171304678284093
2020-05-25,0.37095159435466013,0.21629659698346448,0.41275180866187544
2020-05-26,0.3760897163437861,0.2147373020161932,0.40917298164002075
2020-05-27,0.37617115585690303,0.21480582557260836,0.4090230185704886
2020-05-28,0.37523893293102417,0.21681847143041916,0.4079425956385567
2020-05-29,0.37616173878362386,0.2169199647681502,0.40691829644822597
2020-06-01,0.3761912346852642,0.21700143390526988,0.4068073314094659
2020-06-02,0.3774306489490944,0.21635377206698916,0.40621557898391647
2020-06-03,0.3801890051264044,0.2154733962596757,0.40433759861391994
2020-06-04,0.38112971680620306,0.21609153240531573,0.4027787507884813
2020-06-05,0.38244716061067185,0.21624617044130495,0.40130666894802314
2020-06-08,0.38231854229485873,0.217163409948778,0.40051804775636324
2020-06-09,0.3871979647261907,0.22023605175562017,0.3925659835181892
2020-06-10,0.3880934148536321,0.22022394033391143,0.39168264481245646
2020-06-11,0.38785975445258075,0.22077871210744598,0.3913615334399734
2020-06-12,0.3914648603799666,0.21953801399655407,0.38899712562347943
2020-06-15,0.3917819035271283,0.2207040818412133,0.3875140146316584
2020-06-16,0.4098840941018894,0.21563323037350438,0.37448267552460623
2020-06-17,0.41054772895643765,0.21488710959364285,0.3745651614499195
2020-06-18,0.41785539427385054,0.21209833268430228,0.3700462730418472
2020-06-19,0.41663143155152466,0.214897619965256,0.3684709484832194
2020-06-22,0.4169357543622796,0.2195419172564649,0.3635223283812555
2020-06-23,0.4212415347642667,0.2202173318693624,0.358541133366371
2020-06-24,0.4224359837663676,0.22002043421027676,0.3575435820233556
2020-06-29,0.42588165034577796,0.21801231291304407,0.35610603674117797
2020-06-30,0.4511150761454131,0.20824072173442895,0.34064420212015806
2020-07-01,0.45095261342881393,0.20796473452860703,0.3410826520425791
2020-07-02,0.4512961650745008,0.2078795589355112,0.340824275989988
2020-07-03,0.45311282938099323,0.20719817515444383,0.339688995464563
2020-07-06,0.4553014967511114,0.2097150617958196,0.334983441453069
2020-07-07,0.4568960737282744,0.2088882331112242,0.3342156931605014
2020-07-08,0.45749634680121615,0.21133283215803064,0.3311708210407533
2020-07-09,0.4625808533897834,0.21411775160047997,0.3233013950097367
2020-07-10,0.45748463114286564,0.22278160069714695,0.3197337681599874
2020-07-13,0.4589444496330635,0.22354669765038568,0.3175088527165508
2020-07-14,0.45932049402572134,0.2201941514957941,0.32048535447848464
2020-07-15,0.4686390630569625,0.22622901800821596,0.3051319189348216
2020-07-16,0.4681547894496032,0.2269157750961277,0.3049294354542692
2020-07-17,0.4658921970827195,0.23072811674000693,0.3033796861772735
2020-07-20,0.4676590140718901,0.2312439430456156,0.3010970428824943
