date,RB,I,J,JM
2019-05-08,0.29156557412369694,0.18499164886102595,0.37649501738371394,0.14694775963156317
2019-05-09,0.2953389003851591,0.18720281495329336,0.3682584002305362,0.1491998844310114
2019-05-10,0.2994991195453866,0.18838094309476575,0.36151132669570224,0.15060861066414533
2019-05-13,0.29967959115339005,0.1884921511345269,0.36113949807910295,0.15068875963298017
2019-05-14,0.3001859500943347,0.18792573970243254,0.36104099803413764,0.15084731216909522
2019-05-15,0.30553005045749065,0.19097504217983874,0.3500642999272115,0.15343060743545917
2019-05-16,0.31017073102025006,0.19303776462400196,0.34148195996598385,0.1553095443897642
2019-05-17,0.3165419733798525,0.1962562340885706,0.32754256471308324,0.15965922781849365
2019-05-20,0.3176460435836359,0.19234979677555636,0.32851296250894196,0.16149119713186574
2019-05-21,0.31951322070553917,0.19050540528134421,0.3268881108532054,0.16309326315991116
2019-05-22,0.3196098370473626,0.19059204243967015,0.3266508094069684,0.16314731110599887
2019-05-23,0.3310080126923142,0.20413661270814382,0.28973928424589934,0.17511609035364264
2019-05-24,0.33158177419056384,0.20560933282298552,0.28801186903209297,0.17479702395435762
2019-05-27,0.33211518130687584,0.20787465995074933,0.28393527057034806,0.17607488817202677
2019-05-28,0.3377446021872145,0.212733451226646,0.2697288032930468,0.17979314329309268
2019-05-29,0.3425690435736309,0.21702634095022955,0.2569608225424748,0.18344379293366475
2019-05-30,0.3353421274002153,0.22992657865643978,0.25015631077803857,0.18457498316530638
2019-05-31,0.3352124807297659,0.230043931136905,0.24946665490853265,0.18527693322479655
2019-06-03,0.3355178069201602,0.2300380674946698,0.24807904567307626,0.18636507991209378
2019-06-04,0.33559917374343917,0.2406234189395584,0.23659332915061593,0.18718407816638652
2019-06-05,0.33677891003841026,0.24035815962135226,0.23461744224543812,0.1882454880947994
2019-06-06,0.3339374392203988,0.24090393381465236,0.2335318518088396,0.1916267751561092
2019-06-10,0.33335390796955905,0.2421937644240762,0.23316138669933423,0.1912909409070305
2019-06-11,0.32994743869945464,0.24108390628182563,0.2389704786193381,0.1899981763993816
2019-06-12,0.3281707087063357,0.24644119498438066,0.2368315993582005,0.18855649695108329
2019-06-13,0.3163258249913573,0.25318181880275376,0.23228366723232274,0.19820868897356625
2019-06-14,0.3167525052239918,0.25863860132549693,0.2218257769029551,0.2027831165475563
2019-06-17,0.31774584446991516,0.2576286835984028,0.2201597987578123,0.20446567317386974
2019-06-18,0.2665669109363991,0.21801863248355574,0.18401953307816055,0.33139492350188465
2019-06-19,0.2627159582813292,0.21643956314766785,0.1820262545515865,0.3388182240194165
2019-06-20,0.2628395015327095,0.21495187022113624,0.1824564483210112,0.339752179925143
2019-06-21,0.2625880052183461,0.21507732202466406,0.182275232244081,0.3400594405129089
2019-06-24,0.2622587668691644,0.20977757755164056,0.18282588805811675,0.34513776752107833
2019-06-25,0.26184364777762803,0.20774778822938947,0.1827503571853066,0.34765820680767595
2019-06-26,0.2599739705566441,0.20895161167746867,0.18296497972862483,0.3481094380372623
2019-06-27,0.25777110279294435,0.20869271898722935,0.18365389905220134,0.349882279167625
2019-06-28,0.25774446377558824,0.20943492214933962,0.18326349453667995,0.3495571195383922
2019-07-01,0.2562069477277717,0.20756558875918882,0.1809692886681505,0.355258174844889
2019-07-02,0.255143220330931,0.20849762010949022,0.1817813241469047,0.3545778354126742
2019-07-03,0.2562702270310951,0.2050681650762197,0.18236833004779102,0.35629327784489423
2019-07-04,0.25573218050329527,0.20265988540282762,0.18332085484573402,0.358287079248143
2019-07-05,0.25483406569886674,0.20356436290161367,0.18301997248806878,0.3585815989114508
2019-07-08,0.2526588549896457,0.19555424822105572,0.1826828350919276,0.3691040616973709
2019-07-09,0.2531465730834946,0.19081382158315588,0.1836920898496309,0.3723475154837186
2019-07-10,0.2545151050492013,0.18654110965104428,0.18479231601679683,0.37415146928295767
2019-07-11,0.25360105732923666,0.1859456818715497,0.1851227006302652,0.37533056016894856
2019-07-12,0.25349288868549674,0.18622350965587875,0.1849280369975917,0.3753555646610328
2019-07-15,0.25371845757688016,0.18612231565115786,0.18507752048756837,0.3750817062843936
2019-07-16,0.24980211567709493,0.18488984975338488,0.1845666278023808,0.38074140676713936
2019-07-17,0.24772577651897854,0.18300023907846757,0.184774266793685,0.38449971760886886
2019-07-18,0.24767659734798958,0.1827540647147166,0.18468750391577946,0.3848818340215143
2019-07-19,0.2474474211786643,0.1826205568914607,0.18455501986096592,0.38537700206890907
2019-07-22,0.24495682605725425,0.18203455453418943,0.1855207145377743,0.387487904870782
2019-07-23,0.24407075729429148,0.1816065127102177,0.18542628454149504,0.38889644545399576
2019-07-24,0.24089516787444734,0.17767162902265976,0.18421028963456618,0.3972229134683267
2019-07-25,0.24072597307656257,0.17808674369088254,0.18414114185000238,0.3970461413825525
2019-07-26,0.23852252523848805,0.1756607324378721,0.18293950397396772,0.4028772383496722
2019-07-29,0.23658709056202773,0.17465078856041022,0.18234773601386642,0.4064143848636957
2019-07-30,0.2367157346757409,0.17459962153628197,0.18251452379123448,0.4061701199967425
2019-07-31,0.23534258913918513,0.17696895670187573,0.18186915358786934,0.40581930057106974
