symbol,strategy_mode,param_label,signal_price_col,trade_price_col,return_mode,period,start,end,n_days,ann_ret,ann_vol,sharpe,max_drawdown,calmar,win_rate,profit_loss_ratio,final_nav
RU,fixed,"S=60, L=140, D=60, H=rs_default",close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,-0.00130817139509265,0.20358793265060726,-0.006425584159438872,0.33131182728242414,-0.003948459690747803,0.48,1.1050315221695435,0.9974579047804571
V,fixed,"S=60, L=140, D=60, H=rs_default",close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,0.0175862782534022,0.14058596972734427,0.12509269799475325,0.494411419442643,0.035570129575946,0.48986212489862124,1.0919620711975844,1.1917718809741373
V,fixed,"S=60, L=140, D=60, H=rs_default",close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,-0.03217345008723116,0.16019231467464073,-0.200842656856399,0.1884994885342488,-0.17068189594257444,0.5064935064935064,0.9456757742859097,0.9383915522919469
RB,fixed,"S=60, L=140, D=60, H=rs_default",close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,0.03524753513895762,0.16047531935633574,0.21964458634720274,0.3239059298069472,0.10882028359272607,0.5050045495905369,1.0590900136562045,1.4170893661512651
RB,fixed,"S=60, L=140, D=60, H=rs_default",close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,-0.02539178094605432,0.11117560902991654,-0.22839345039451575,0.18791526806102432,-0.13512356504107212,0.5267857142857143,0.8589013704077616,0.9512193818309629
I,fixed,"S=60, L=140, D=60, H=rs_default",close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,0.08422274295994625,0.21501449642768328,0.39170727722664617,0.43138648509122757,0.19523732400224644,0.4967741935483871,1.1650690093153342,2.2563936875526864
I,fixed,"S=60, L=140, D=60, H=rs_default",close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,-0.019762435368583353,0.216781562607628,-0.09116289748475115,0.2525219759907755,-0.07826025949244617,0.5060827250608273,0.9789841530346519,0.9619317846738842
J,fixed,"S=60, L=140, D=60, H=rs_default",close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,0.08815707678000395,0.20454118285224276,0.43099915406124933,0.4695970117459979,0.18772921158980366,0.5014577259475219,1.1458334055006323,2.3401598989134844
J,fixed,"S=60, L=140, D=60, H=rs_default",close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,-0.03105323741153465,0.22257058952816303,-0.1395208480930286,0.27493953755759726,-0.11294569594243713,0.4811320754716981,1.0690526158193405,0.94050465148387
JM,fixed,"S=60, L=140, D=60, H=rs_default",close,open,open_to_open,in_sample,2014-01-02,2024-06-06,2536,0.15103069696622984,0.20702718220420369,0.7295210964966858,0.36227240693811447,0.4168981519810583,0.5004314063848145,1.2291489965284468,4.118580832902052
JM,fixed,"S=60, L=140, D=60, H=rs_default",close,open,open_to_open,out_of_sample,2024-06-07,2026-06-16,490,-0.059869289646245716,0.2674367337501769,-0.22386337436416628,0.42730796792141845,-0.14010805821728936,0.5021097046413502,0.9671687161415249,0.886882369253101
