date,RB,I,J,JM
2016-01-29,0.25800577792719487,0.2676652127230951,0.3171785037847373,0.15715050556497281
2016-02-01,0.26001950475354657,0.263258223347486,0.31909538887756306,0.15762688302140448
2016-02-02,0.261131883180653,0.26154969711228965,0.318882320254565,0.15843609945249248
2016-02-03,0.26219105711354224,0.25879465579442174,0.3200119088810748,0.15900237821096122
2016-02-04,0.26498249560443304,0.2575084970020524,0.31901129924410043,0.15849770814941402
2016-02-05,0.26623132102390384,0.2566616881877479,0.3195716583367398,0.15753533245160853
2016-02-15,0.2703452301053244,0.23787885320221897,0.3236768993270269,0.16809901736542987
2016-02-16,0.2749860201090504,0.22598604097202266,0.32888669403179316,0.17014124488713372
2016-02-17,0.2839478592985264,0.21402162170491945,0.33094480950221694,0.17108570949433718
2016-02-18,0.28481696705296305,0.21391176130877207,0.3309862980355386,0.17028497360272637
2016-02-19,0.2848322806610458,0.21391174473672434,0.3310040940064083,0.1702518805958217
2016-02-22,0.29043982425680887,0.21056378160254116,0.32958082080016776,0.16941557334048232
2016-02-23,0.2920341708722111,0.20657010779612442,0.33130389838032637,0.17009182295133807
2016-02-24,0.30094138290308875,0.19113954627559762,0.3412364951437659,0.16668257567754774
2016-02-25,0.30134491156621834,0.19102962814301225,0.34141543369460625,0.1662100265961631
2016-02-26,0.3025672880280059,0.19064785848610466,0.34174148912968344,0.16504336435620603
2016-02-29,0.35319819687898213,0.1766325058652816,0.31718587963504574,0.1529834176206906
2016-03-01,0.3515911752723011,0.16874237348787982,0.33176198191313,0.14790446932668927
2016-03-02,0.35572271270416844,0.16409514102023112,0.33167994049287886,0.14850220578272155
2016-03-03,0.37086718085495357,0.1567965305335673,0.32685710860370404,0.14547918000777513
2016-03-04,0.3688171534990381,0.15282963933546648,0.3337585693784879,0.14459463778700754
2016-03-07,0.365033060103626,0.14866127053215572,0.34483234965742765,0.14147331970679056
2016-03-08,0.3673556716894791,0.14325744379378338,0.3465062838607983,0.1428806006559392
2016-03-09,0.3724468018274758,0.12868067017899615,0.35419853547975616,0.14467399251377194
2016-03-10,0.3885568280023986,0.12363565428722377,0.34648627645992186,0.1413212412504558
2016-03-11,0.40788608175829383,0.11772713973888091,0.3368126837800175,0.13757409472280782
2016-03-14,0.4066459517525786,0.11632233947200032,0.33964169359662505,0.13739001517879598
2016-03-15,0.4092641154556977,0.11298771984938737,0.34024820109355053,0.1374999636013643
2016-03-16,0.40260861348534893,0.1137859534977109,0.34490398280426904,0.13870145021267122
2016-03-17,0.3988959449132864,0.10951894723814545,0.35499508492132686,0.13659002292724137
2016-03-18,0.37452906536113634,0.11262349017261986,0.370684425291438,0.1421630191748059
2016-03-21,0.32315185462547313,0.1179786362445861,0.40161982689532144,0.15724968223461935
2016-03-22,0.31590586718170816,0.11348907157855095,0.40982671632493034,0.1607783449148106
2016-03-23,0.3083909757475437,0.11379247975890988,0.41472867205073327,0.1630878724428132
2016-03-24,0.30723512614791787,0.11197628697073735,0.4153391357159943,0.1654494511653505
2016-03-25,0.2975492992969468,0.1123710442226637,0.42315750733088203,0.16692214914950734
2016-03-28,0.26678971302879495,0.11722525836613479,0.44155268847625057,0.1744323401288196
2016-03-29,0.248030302558272,0.12008018898307544,0.4530386412161773,0.17885086724247531
2016-03-30,0.23919850329311676,0.12098942389863877,0.4590556373856784,0.18075643542256617
2016-03-31,0.23884340896727507,0.11919211545356864,0.46117067258154815,0.1807938029976081
2016-04-01,0.23087153320355547,0.12044375926183527,0.46601345446098974,0.1826712530736196
2016-04-05,0.2283519103600539,0.12075566233221954,0.4673898896236904,0.1835025376840362
2016-04-06,0.21504205135168092,0.1205009283436871,0.48388717735216785,0.18056984295246403
2016-04-07,0.21193071983424638,0.11598307411191348,0.49307391467280615,0.1790122913810339
2016-04-08,0.17574538314725785,0.09577625892108785,0.5750988382714586,0.1533795196601957
2016-04-11,0.17566560021211514,0.09559787037696435,0.575932841236232,0.15280368817468853
2016-04-12,0.1727135847637292,0.09411938535470235,0.5831182464313331,0.15004878345023528
2016-04-13,0.1582845296817038,0.09473654655706922,0.5972807609043944,0.14969816285683252
2016-04-14,0.1568317864874985,0.09003180723193449,0.6093813229497347,0.14375508333083226
2016-04-15,0.1559196327932031,0.08898335659164579,0.6138017454974709,0.14129526511768037
2016-04-18,0.15171176868972494,0.08767415380137825,0.6205846719769594,0.14002940553193738
2016-04-19,0.1515073205679153,0.08853591262282556,0.6280184804112615,0.13193828639799765
2016-04-20,0.1411680354241575,0.0904675330450595,0.6489826878075681,0.11938174372321497
2016-04-21,0.13370312237669488,0.09123075214264549,0.6549760030110704,0.12009012246958928
2016-04-22,0.12629342741526783,0.09125617943407344,0.6655252606462396,0.11692513250441913
2016-04-25,0.10671456371336419,0.08160074471723014,0.7099721979964807,0.10171249357292511
2016-04-26,0.10665539319572703,0.0815554991749491,0.7106673025632769,0.10112180506604695
2016-04-27,0.10621661279987629,0.08121997976857347,0.7212534181605519,0.09130998927099838
2016-04-28,0.1053715070587385,0.08057375815231048,0.723458430658172,0.09059630413077915
2016-04-29,0.09018700115963565,0.06896271888631014,0.7632983241501087,0.07755195580394554
2016-05-03,0.08952668711561051,0.06845780075831756,0.7649910145672046,0.07702449755886735
2016-05-04,0.08263277542199597,0.06318627727887219,0.7829124474080086,0.07126849989112322
2016-05-05,0.07422838460521014,0.05675974536344921,0.8049826941144341,0.06402917591690648
2016-05-06,0.06561933495671934,0.050176718284676826,0.8276009105502787,0.05660303620832513
2016-05-09,0.06462263779716947,0.049414580225477386,0.8302192327417705,0.05574354923558283
2016-05-10,0.05994528611798253,0.04583797955313408,0.8423570697247362,0.05185966460414713
2016-05-11,0.3802922718421726,0.2907956656776583,0.0,0.32891206248016913
2016-05-12,0.3802922718421726,0.2907956656776583,0.0,0.32891206248016913
2016-05-13,0.3802922718421726,0.2907956656776583,0.0,0.32891206248016913
2016-05-16,0.3802922718421726,0.2907956656776583,0.0,0.32891206248016913
2016-05-17,0.3802922718421726,0.2907956656776583,0.0,0.32891206248016913
2016-05-18,0.3802922718421726,0.2907956656776583,0.0,0.32891206248016913
2016-05-19,0.3802922718421726,0.2907956656776583,0.0,0.32891206248016913
2016-05-20,0.3802922718421726,0.2907956656776583,0.0,0.32891206248016913
2016-05-23,0.3802922718421726,0.2907956656776583,0.0,0.32891206248016913
2016-05-24,0.3802922718421726,0.2907956656776583,0.0,0.32891206248016913
2016-05-25,0.3802887761770913,0.2907973060061682,0.0,0.32891391781674056
2016-05-26,0.3794320011958992,0.29119934464417635,0.0,0.32936865415992445
2016-05-27,0.3771647053836808,0.2922632652071201,0.0,0.3305720294091992
2016-05-30,0.3730565292108566,0.29419101238634077,0.0,0.33275245840280276
2016-05-31,0.3652101349994762,0.29787290519514975,0.0,0.3369169598053741
2016-06-01,0.3627864607214983,0.29901020580159127,0.0,0.33820333347691045
2016-06-02,0.3627867477225217,0.2990100711273734,0.0,0.338203181150105
2016-06-03,0.36160006756693125,0.29956691660486506,0.0,0.33883301582820363
2016-06-06,0.36122078151782727,0.2997448952456339,0.0,0.33903432323653887
2016-06-07,0.3560437718844082,0.3021741887563747,0.0,0.3417820393592171
2016-06-08,0.35158157678929014,0.30426805806622775,0.0,0.34415036514448205
2016-06-13,0.3513329646704995,0.3043823530469787,0.0,0.34428468228252185
2016-06-14,0.350910093111735,0.304603687723669,0.0,0.344486219164596
2016-06-15,0.3437617148001024,0.30786754462862254,0.0,0.34837074057127504
2016-06-16,0.3339835855044259,0.31231495315129804,0.0,0.353701461344276
2016-06-17,0.33342316724419657,0.3125543609074325,0.0,0.354022471848371
2016-06-20,0.33339921475416967,0.3126034263617253,0.0,0.3539973588841051
2016-06-21,0.33180660304960413,0.3111565430164108,0.0,0.3570368539339851
2016-06-22,0.33124715723757164,0.31088104704979397,0.0,0.3578717957126344
2016-06-23,0.33033721455814924,0.31130404926353505,0.0,0.35835873617831576
2016-06-24,0.3256673962993721,0.31338970644869163,0.0,0.36094289725193623
2016-06-27,0.32563450908235225,0.31343220360608126,0.0,0.3609332873115665
2016-06-28,0.32505991776360316,0.313526527956051,0.0,0.3614135542803459
2016-06-29,0.3087501588446391,0.32104963910441386,0.0,0.3702002020509471
2016-06-30,0.3074894340701754,0.3197386916530306,0.0,0.372771874276794
2016-07-01,0.3074790653441389,0.3197279098747654,0.0,0.3727930247810957
2016-07-04,0.3071108083160915,0.3193449828298217,0.0,0.3735442088540869
2016-07-05,0.3057923555674583,0.3179740077323226,0.0,0.37623363670021914
2016-07-06,0.30574069885286365,0.31792029320261994,0.0,0.3763390079445165
2016-07-07,0.303744897771471,0.31883076071866495,0.0,0.377424341509864
2016-07-08,0.30569711013967343,0.314452787546044,0.0,0.3798501023142826
2016-07-11,0.30454660361087504,0.31709520212998854,0.0,0.3783581942591364
2016-07-12,0.3040830348205745,0.31801616086802803,0.0,0.37790080431139744
2016-07-13,0.30079133732370944,0.3164244385513224,0.0,0.3827842241249681
2016-07-14,0.30420110381755777,0.3068393581474756,0.0,0.3889595380349666
2016-07-15,0.3041543723685971,0.30702231856698803,0.0,0.38882330906441487
2016-07-18,0.3039244837246729,0.30674006679338756,0.0,0.3893354494819396
